Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,1.491710,1.514914,1.425411,1.449279,1.449279,19993986
2020-07-27,1.392262,1.392262,1.294472,1.362428,1.362428,34616968
2020-07-28,1.363754,1.392262,1.321986,1.391599,1.391599,13744796
2020-07-29,1.408837,1.411489,1.340550,1.352483,1.352483,8461401
2020-07-30,1.345853,1.346516,1.302760,1.334583,1.334583,13684580
2020-07-31,1.325964,1.325964,1.199997,1.226848,1.226848,35523208
2020-08-03,1.232152,1.232815,1.144307,1.209279,1.209279,24916320
2020-08-04,1.231821,1.290494,1.213257,1.286185,1.286185,17987549
2020-08-05,1.359113,1.423422,1.325964,1.420107,1.420107,22854530
2020-08-06,1.430052,1.445301,1.320992,1.367069,1.367069,21700439
2020-08-07,1.359113,1.371047,1.289500,1.361102,1.361102,13671442
2020-08-10,1.392262,1.491710,1.369058,1.482428,1.482428,16963503
2020-08-11,1.519555,1.620328,1.516903,1.607068,1.607068,26184373
2020-08-12,1.585190,1.616350,1.469168,1.559997,1.559997,18401844
2020-08-13,1.539444,1.596461,1.497676,1.497676,1.497676,14062494
2020-08-14,1.458560,1.465190,1.395577,1.430052,1.430052,16195551
2020-08-17,1.399555,1.418782,1.347179,1.349831,1.349831,12350983
2020-08-18,1.339224,1.424748,1.365080,1.373699,1.373699,14803269
2020-08-19,1.410163,1.471157,1.390936,1.471157,1.471157,12305356
2020-08-20,1.423422,1.425411,1.386295,1.401544,1.401544,10188431
2020-08-21,1.422096,1.442649,1.386958,1.422759,1.422759,11796077
2020-08-24,1.460549,1.460549,1.386295,1.449279,1.449279,12858323
2020-08-25,1.471820,1.538118,1.471820,1.484417,1.484417,19074106
2020-08-26,1.480439,1.528837,1.460549,1.527511,1.527511,8240743
2020-08-27,1.531489,1.602428,1.494361,1.589831,1.589831,14076767
2020-08-28,1.597787,1.616350,1.564638,1.589168,1.589168,14176516
2020-08-31,1.603091,1.607068,1.479776,1.487732,1.487732,15451256
2020-09-01,1.512925,1.538118,1.453920,1.499665,1.499665,11625814
2020-09-02,1.504969,1.536792,1.474472,1.508284,1.508284,8885510
2020-09-03,1.525522,1.656129,1.521544,1.588505,1.588505,27729297
2020-09-04,1.584527,1.683974,1.565301,1.626295,1.626295,20986382
2020-09-07,1.642870,1.654803,1.527511,1.545411,1.545411,15775200
2020-09-08,1.538781,1.553367,1.473809,1.514914,1.514914,12607351
2020-09-09,1.500991,1.500991,1.436019,1.462538,1.462538,9065702
2020-09-10,1.458560,1.510936,1.389610,1.442649,1.442649,17810757
2020-09-11,1.425411,1.426737,1.367069,1.391599,1.391599,13809696
2020-09-14,1.459500,1.540000,1.380000,1.457500,1.457500,44182914
2020-09-15,1.480000,1.489000,1.414000,1.438500,1.438500,16529072
2020-09-16,1.446500,1.458000,1.389500,1.443500,1.443500,18183790
2020-09-17,1.421500,1.445500,1.403000,1.411500,1.411500,12774983
2020-09-18,1.400000,1.407500,1.211500,1.211500,1.211500,38270749
2020-09-21,1.191000,1.191000,1.026500,1.058000,1.058000,43365297
2020-09-22,1.066500,1.100500,1.000000,1.100500,1.100500,30319005
2020-09-23,1.131000,1.199000,1.076500,1.076500,1.076500,32216147
2020-09-24,1.043500,1.085000,1.010000,1.029500,1.029500,30167732
2020-09-25,1.050000,1.050000,0.977000,1.012500,1.012500,51558676
2020-09-28,1.040000,1.066500,1.007500,1.043000,1.043000,21579553
2020-09-29,1.042000,1.042000,0.985600,0.998400,0.998400,18607566
2020-09-30,0.994000,1.056000,0.985000,1.035000,1.035000,19483116
2020-10-01,1.055000,1.059000,0.991000,1.031500,1.031500,16842712
2020-10-02,1.017500,1.054000,1.001000,1.008000,1.008000,28016437
2020-10-05,1.038000,1.039000,0.995000,1.008500,1.008500,24035063
2020-10-06,1.014000,1.081500,1.010000,1.067000,1.067000,29945636
2020-10-07,1.060000,1.099000,1.033000,1.062000,1.062000,34170992
